"","Year","Month","Day","Hour","AQI","RawConc","date","YearName","Month_Name"
"183",2018,1,8,15,149,55,2018-01-08 15:00:00,"2018","January"
"184",2018,1,8,16,138,43,2018-01-08 16:00:00,"2018","January"
"185",2018,1,8,17,127,40,2018-01-08 17:00:00,"2018","January"
"186",2018,1,8,18,119,39,2018-01-08 18:00:00,"2018","January"
"187",2018,1,8,19,114,38,2018-01-08 19:00:00,"2018","January"
"188",2018,1,8,20,100,31,2018-01-08 20:00:00,"2018","January"
"189",2018,1,8,21,111,44,2018-01-08 21:00:00,"2018","January"
"190",2018,1,8,22,115,43,2018-01-08 22:00:00,"2018","January"
"191",2018,1,8,23,116,42,2018-01-08 23:00:00,"2018","January"
"192",2018,1,9,0,114,40,2018-01-09 00:00:00,"2018","January"
"193",2018,1,9,1,115,42,2018-01-09 01:00:00,"2018","January"
"194",2018,1,9,2,121,47,2018-01-09 02:00:00,"2018","January"
"195",2018,1,9,3,135,56,2018-01-09 03:00:00,"2018","January"
"196",2018,1,9,4,140,54,2018-01-09 04:00:00,"2018","January"
"197",2018,1,9,5,144,55,2018-01-09 05:00:00,"2018","January"
"198",2018,1,9,6,140,49,2018-01-09 06:00:00,"2018","January"
"199",2018,1,9,7,126,39,2018-01-09 07:00:00,"2018","January"
"200",2018,1,9,8,120,37,2018-01-09 08:00:00,"2018","January"
"201",2018,1,9,9,119,42,2018-01-09 09:00:00,"2018","January"
"202",2018,1,9,10,123,48,2018-01-09 10:00:00,"2018","January"
"203",2018,1,9,11,138,60,2018-01-09 11:00:00,"2018","January"
"204",2018,1,9,12,154,71,2018-01-09 12:00:00,"2018","January"
"205",2018,1,9,13,150,49,2018-01-09 13:00:00,"2018","January"
"206",2018,1,9,14,142,49,2018-01-09 14:00:00,"2018","January"
"207",2018,1,9,15,141,51,2018-01-09 15:00:00,"2018","January"
"208",2018,1,9,16,129,42,2018-01-09 16:00:00,"2018","January"
"209",2018,1,9,17,121,40,2018-01-09 17:00:00,"2018","January"
"210",2018,1,9,18,102,29,2018-01-09 18:00:00,"2018","January"
"211",2018,1,9,19,101,35,2018-01-09 19:00:00,"2018","January"
"212",2018,1,9,20,99,34,2018-01-09 20:00:00,"2018","January"
"213",2018,1,9,21,107,41,2018-01-09 21:00:00,"2018","January"
"214",2018,1,9,22,107,38,2018-01-09 22:00:00,"2018","January"
"215",2018,1,9,23,114,44,2018-01-09 23:00:00,"2018","January"
"216",2018,1,10,0,122,49,2018-01-10 00:00:00,"2018","January"
"217",2018,1,10,1,143,60,2018-01-10 01:00:00,"2018","January"
"218",2018,1,10,2,151,60,2018-01-10 02:00:00,"2018","January"
"219",2018,1,10,3,154,66,2018-01-10 03:00:00,"2018","January"
"220",2018,1,10,4,155,65,2018-01-10 04:00:00,"2018","January"
"221",2018,1,10,5,153,54,2018-01-10 05:00:00,"2018","January"
"222",2018,1,10,6,152,55,2018-01-10 06:00:00,"2018","January"
"223",2018,1,10,7,151,56,2018-01-10 07:00:00,"2018","January"
"224",2018,1,10,8,155,72,2018-01-10 08:00:00,"2018","January"
